,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
310,Sport Boat,4.86,1.96,145,19903.625,Germany , Nordrhein-Westfalen ,new,4
319,Motor Yacht,4.99,1.97,183,23024.05,Switzerland , Lake Geneva ,new,6
321,Center console boat,5.1,2.1,117,20747.5,Germany , Baden-W¼rttemberg ,new,4
322,Pontoon Boat,9.0,1.7,235,22859.2,Switzerland , Beringen,new,4
323,Deck Boat,6.12,2.44,217,21392.5,Italy , Friuli Venezia Giulia ,new,5
324,Sport Boat,4.78,1.95,121,21392.5,Germany , Boote Pfister / Schwebheim,new,6
339,Pilothouse,5.75,2.54,153,22036.425,Germany , Kieler Bucht mit Fehmarn ,new,4
340,Sport Boat,6.08,2.37,115,22026.75,Germany , Nordrhein-Westfalen ,new,6
341,Center console boat,5.3,2.15,118,24298.89,Switzerland , Vierwaldst¤ttersee ,new,4
354,Pilothouse,5.64,2.45,73,23000.7,Germany , Bnningstedt / Werft,new,4
357,Pilothouse,6.6,2.47,394,25277.0,Switzerland , Walensee ,new,5
362,Sport Boat,5.67,2.25,135,22671.75,Germany , auf Anfrage,new,5
367,Center console boat,5.03,2.12,62,22575.0,France ," granville, granville",new,4
385,Sport Boat,5.47,2.29,86,24596.0,Germany , Niedersachsen ,new,4
386,Deck Boat,5.65,2.2,140,24563.75,Germany , Mhlhausen - Ehingen,new,4
387,Sport Boat,5.0,2.0,63,24281.399999999998,Denmark , Svendborg,new,4
388,Deck Boat,5.28,2.09,114,24510.0,Germany , Nordrhein-Westfalen ,new,4
389,Pontoon Boat,5.18,2.29,87,24479.899999999998,Portugal ," Parchal, Portugal",new,6
391,Pilothouse,5.79,2.46,49,24472.375,Germany , Bnningstedt,new,4
399,Deck Boat,6.25,2.3,107,24209.0,Germany , auf Anfrage,new,4
400,Bowrider,6.06,2.2,109,25413.0,Germany , Grevenbroich,new,7
402,Sport Boat,4.54,1.85,84,25294.75,Germany , Baden-W¼rttemberg ,new,4
