,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
1399,Pilothouse,8.23,2.79,81,76862.5,France ," Lorient, France",new,4
1400,Motor Yacht,7.25,2.57,230,84792.246,Switzerland , Lake Constance ,new,4
1404,Pilothouse,7.6,2.53,166,84513.09999999999,Switzerland , Vierwaldst¤ttersee ,new,4
1407,Pilothouse,8.23,2.76,37,76325.0,France ," CAPBRETON, CAPBRETON",new,4
1409,Cabin Boat,7.88,2.55,42,76314.25,Germany , Niedersachsen ,new,4
1410,Pilothouse,6.92,2.59,73,76217.5,France ," PORNICHET, PORNICHET",new,5
1411,Center console boat,7.09,2.5,37,76217.5,France ," PORT LEUCATE, France",new,4
1415,Pilothouse,7.69,2.5,155,78475.0,Slovenia , LJUBLJANA,new,5
1419,Center console boat,7.09,2.5,44,78367.5,France ," PORT LEUCATE, France",new,4
1420,Pilothouse,8.23,2.79,58,78367.5,Germany , Erftstadt-Liblar,new,4
1422,Cabin Boat,7.88,2.55,271,86546.25,Switzerland , Neuenburgersee ,new,4
1435,Sport Boat,8.04,2.6,75,79813.375,Germany ," FA. SIEGEL, GUMMERSBACH, FA. SIEGEL, GUMMERSBACH",new,5
1436,Pilothouse,8.23,2.79,36,79796.175,France ," PLUNERET, France",new,4
1437,Center console boat,6.96,2.53,24,79619.875,Spain ," Hospitalet del Infante, Espagne",new,5
1471,Deck Boat,7.13,2.5,42,80625.0,Spain ," D©nia, Alicante",new,5
1476,Pilothouse,8.8,2.99,33,83023.325,Germany , Bnningstedt,new,4
1478,Sport Boat,6.8,2.4,176,91711.55,Switzerland , Vierwaldst¤ttersee ,new,5
1490,Cabin Boat,7.9,2.81,62,84817.5,Germany , Bayern ,new,4
1492,Bowrider,6.68,2.4,205,93415.0,Switzerland , Vierwaldst¤ttersee ,new,5
1493,Pilothouse,7.7,2.54,183,93415.0,Switzerland , Walensee ,new,6
1495,Pilothouse,8.9,2.99,90,84430.5,Germany , Bnningstedt,new,4
1497,Deck Boat,8.0,2.64,145,84387.5,Italy , Toscana ,new,4
1498,Deck Boat,6.96,2.53,62,84387.5,France ," Vaux-sur-Seine, France",new,4
1501,Sport Boat,6.4,2.5,128,92677.571,Switzerland , Lake of Zurich ,new,3
1513,Bowrider,7.35,2.54,55,84925.0,France ," BORMES LES MIMOSAS, BORMES LES MIMOSAS",new,4
1523,Sport Boat,8.1,2.7,81,85892.5,France ," SAINT CYPRIEN, France, SAINT CYPRIEN, SAINT CYPRIE",new,8
1524,Sport Boat,8.1,2.7,89,85892.5,France ," SAINT CYPRIEN, SAINT CYPRIEN",new,8
1525,Pilothouse,7.93,2.8,73,85892.5,Germany , Bnningstedt,new,4
1527,Sport Boat,7.15,2.54,76,85785.0,Austria , Linz,new,4
1529,Pilothouse,7.42,2.79,39,90868.75,United Kingdom ," Burton Waters, Burton Waters",new,4
1533,Cabin Boat,7.75,2.55,109,85516.25,Germany , Bayern ,new,4
1557,House Boat,9.0,2.5,207,88526.25,Netherlands , Nieuwbouw,new,4
1567,Cabin Boat,6.84,2.45,304,91321.25,Germany , Lake Constance ,new,4
1571,Center console boat,8.1,2.53,30,91267.5,France ," LES SABLES OLONNE, France",new,4
1573,Pilothouse,7.93,2.8,95,91267.5,Germany , Bnningstedt,new,4
1580,Sport Boat,8.1,2.55,336,99908.991,Switzerland , Romanshorn,new,4
1583,Sport Boat,7.75,2.45,81,91375.0,Italy , Lake Garda ,new,5
1600,Sport Boat,9.0,2.94,106,93514.25,France , France,new,4
1601,Pilothouse,6.98,2.98,69,93514.25,Spain , Barcelona,new,5
1603,Pilothouse,8.03,2.82,47,93417.5,France ," 29200 BREST, France",new,5
1604,Sport Boat,6.8,2.5,143,93299.25,Germany , Lake Constance ,new,4
1607,Water ski,6.65,2.41,123,92987.5,Germany , Rheinland-Pfalz ,new,4
1608,Motor Yacht,8.3,2.8,138,92932.675,Germany , Nordrhein-Westfalen ,new,5
1609,Pilothouse,7.49,2.55,327,102437.79,Switzerland , Lake Geneva ,new,4
1612,Sport Boat,7.65,2.54,256,102207.0,Switzerland , Lake Constance ,new,4
1613,Bowrider,2.36,7.55,220,102207.0,Switzerland , Vierwaldst¤ttersee ,new,5
1614,Sport Boat,7.6,2.53,197,102207.0,Switzerland , Vierwaldst¤ttersee ,new,6
1621,Pilothouse,6.99,2.72,191,105438.06,Switzerland , Luganersee ,new,5
1623,Sport Boat,7.67,2.43,193,95307.34999999999,Switzerland , Vierwaldst¤ttersee ,new,5
1628,Sport Boat,6.58,2.55,199,104742.393,Switzerland , Vierwaldst¤ttersee ,new,5
1630,Pilothouse,8.36,2.95,124,94600.0,Cyprus ," Limassol, Chypre",new,14
1648,Motor Yacht,8.76,2.99,296,96642.5,Italy , Moniga del Garda (BS),new,6
1652,Bowrider,6.96,2.59,87,96642.5,Germany , Bayern ,new,4
1656,Sport Boat,7.2,2.55,77,96373.75,Austria , Linz Schauraum TopYacht,new,5
1657,Pilothouse,7.3,2.3,104,96373.75,Germany , Bayern ,new,4
1658,Sport Boat,7.04,2.6,77,106493.09999999999,Switzerland , Bielersee ,new,7
1660,Sport Boat,6.25,2.5,218,106444.74399999999,Switzerland , Lake of Zurich ,new,3
1663,Pilothouse,6.65,2.6,163,108801.0,Switzerland , Vierwaldst¤ttersee ,new,5
1667,House Boat,9.96,3.46,91,98040.0,Lithuania , onbekend,new,4
1669,Cabin Boat,7.56,2.59,87,97717.5,Germany , Ubstadt-Weiherr ,new,4
1673,Sport Boat,7.8,2.49,180,97053.15,Portugal ," Parchal, Portugal",new,5
1684,Bowrider,7.01,2.59,312,112282.632,Switzerland , Lake Constance ,new,3
1692,Motor Yacht,8.5,2.99,136,100942.5,Italy , Moniga del Garda (BS),new,6
1709,Bowrider,8.0,2.54,273,105062.97499999999,Switzerland , Lake Constance ,new,5
1710,Sport Boat,7.11,2.27,227,104973.75,Switzerland , Lake Constance ,new,5
1711,Cabin Boat,7.6,2.56,258,104953.325,Germany , Lake Constance ,new,5
1712,Bowrider,7.3,2.5,163,104946.875,Germany , Lake Constance ,new,4
1716,Sport Boat,7.0,2.0,42,103674.99999999999,Denmark , Svendborg,new,5
1719,Sport Boat,7.9,2.6,100,115285.09999999999,Switzerland , Bielersee ,new,7
1731,Deck Boat,10.6,3.3,60,105887.5,Netherlands , Lemmer,new,5
1736,Cabin Boat,8.3,2.55,150,105672.5,Germany , Baden-W¼rttemberg ,new,4
1737,Deck Boat,9.0,2.0,46,105554.25,Spain ," Palma, Espagne",new,5
1760,Cabin Boat,8.08,2.54,79,107392.5,Spain , Mallorca ,new,4
1766,Pilothouse,8.25,2.95,148,107381.75,Germany , Gersthofen,new,4
1769,Bowrider,7.3,2.5,51,107285.0,France ," MANDELIEU LA NAPOULE, France",new,4
1773,Sport Boat,9.0,2.97,46,108575.0,France ," ANTIBES, ANTIBES",new,4
1775,Cabin Boat,8.0,2.7,88,108360.0,Germany , Ubstadt-Weiherr ,new,4
1776,Runabout,8.8,2.95,142,107698.875,Germany , auf Anfrage,new,4
1806,Sport Boat,7.62,2.54,153,117166.4,Switzerland , Lake Constance ,new,4
1807,Sport Boat,6.4,2.54,110,117067.5,Germany , Bayern ,new,4
1808,Wakeboard/Wakesurf,6.6,2.59,158,129225.915,Switzerland , Vierwaldst¤ttersee ,new,6
1809,Wakeboard/Wakesurf,7.1,2.49,95,116100.0,Germany , Rheinland-Pfalz ,new,4
1816,House Boat,11.0,4.35,52,115455.0,Netherlands , onbekend,new,4
1819,Cabin Boat,8.12,2.55,129,127154.3,Switzerland , Lake Constance ,new,4
1829,Bowrider,7.4,2.5,99,118121.0,France ," MANDELIEU LA NAPOULE, France",new,4
1835,Sport Boat,8.0,2.59,119,120346.25,Germany ," GUMMERSBACH, FA. SIEGEL GMBH, GUMMERSBACH, FA. SIE",new,5
1838,Sport Boat,8.74,2.59,69,119970.0,Germany , Gummersbach,new,5
1839,Cabin Boat,8.9,2.84,256,119701.25,Switzerland , Lake Geneva ,new,4
1840,Sport Boat,8.9,2.84,171,119701.25,Switzerland , Lake Constance ,new,4
1842,Motor Yacht,9.95,3.35,53,119325.0,France ," La Rochelle, France",new,5
1845,Sport Boat,6.2,2.03,146,131218.402,Switzerland , Bielersee ,new,6
1846,Sport Boat,8.0,2.59,145,118465.0,Germany ," SIEGEL AUTO  und  BOOT GUMMERSBA, SIEGEL AUTO  und",new,5
1863,Sport Boat,7.9,2.5,122,123614.25,Germany , ab Herford,new,4
1864,Motor Yacht,9.5,3.0,123,123591.67499999999,Poland , Polen,new,5
1867,Deck Boat,8.6,2.98,40,125277.275,Spain , Alicante (Alacant),new,4
1870,Sport Boat,7.21,2.59,258,137924.5,Switzerland , Lago Maggiore ,new,3
1876,Sport Boat,6.73,2.57,198,137477.207,Switzerland , Vierwaldst¤ttersee ,new,4
1889,House Boat,11.0,4.2,108,127925.0,Germany , Deutschland,new,4
1890,Sport Boat,7.7,2.4,84,127925.0,Netherlands , Muiderzand,new,6
1894,Wakeboard/Wakesurf,6.7,2.54,72,127925.0,Germany , Rhein ,new,4
1895,Cabin Boat,7.48,2.56,161,127925.0,Germany , Traben-Trabach,new,5
1910,House Boat,10.7,3.4,86,128989.25,Germany , Polen,new,6
1913,Cabin Boat,8.06,3.0,159,143870.09,Switzerland , Neuenburgersee ,new,4
1914,Motor Yacht,8.8,2.8,193,142760.1,Switzerland , Bielersee ,new,7
1916,Pilothouse,7.0,2.0,104,128413.99999999999,Denmark , Svendborg,new,4
1918,Sport Boat,9.31,2.99,222,128256.69999999998,Denmark , Ny,new,4
1919,Pilothouse,8.15,2.55,278,143188.71,Switzerland , Lake Geneva ,new,4
1938,Cabin Boat,7.9,2.5,89,134267.5,Germany , Herford,new,4
1942,House Boat,9.0,4.0,39,134160.0,Poland , Nieuwbouw,new,4
1943,Motor Yacht,11.0,3.5,325,134065.4,Poland , Werft,new,5
1949,Deck Boat,9.12,2.98,33,135342.5,France ," LA ROCHELLE, LA ROCHELLE",new,4
1952,Motor Yacht,8.65,2.59,242,148738.66,Germany , Lake Constance ,new,4
1959,Pilothouse,9.1,2.98,28,138675.0,France ," MARTIGUES, France",new,5
1975,Deck Boat,7.96,2.98,40,139750.0,Italy , Mar Ligure,new,4
1983,Center console boat,9.12,2.98,95,139750.0,France ," PORNICHET, France",new,4
1988,Sport Boat,9.4,2.95,201,139750.0,Poland , In Produktion,new,4
1994,Wakeboard/Wakesurf,7.35,2.54,115,144050.0,Germany , Rheinland-Pfalz ,new,4
1996,Cabin Boat,8.1,2.56,145,143942.5,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,new,4
2020,Pilothouse,9.0,2.0,47,145125.0,France ," Avignon, France",new,5
2033,Cabin Boat,8.15,2.55,249,149220.75,Germany , Lake Constance ,new,4
2038,Sport Boat,8.0,2.6,205,166262.215,Switzerland , Lake of Zurich ,new,3
2050,Cabin Boat,7.9,2.5,132,154605.425,Germany , Lake Constance ,new,3
2053,Cabin Boat,8.1,2.56,75,153617.5,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,new,3
2055,Sport Boat,7.7,2.5,86,153402.5,Italy , Moniga del Garda (BS),new,7
2061,Sport Boat,9.19,3.1,176,153187.5,Switzerland , Lake Constance ,new,4
2065,Cabin Boat,8.1,2.56,101,152542.5,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,new,3
2066,Deck Boat,9.12,9.98,36,156842.5,France ," PORNICHET, France",new,4
2068,Motor Yacht,9.95,3.45,123,156305.0,Italy , Lake Garda ,new,5
2097,House Boat,8.5,3.8,38,161142.5,Netherlands , Nieuwbouw,new,4
2101,Sport Boat,8.07,2.59,160,160820.0,Austria , Linz,new,4
2111,Bowrider,7.89,2.59,76,162658.25,Germany , Berlin ,new,4
2112,Sport Boat,7.89,2.59,99,162658.25,Germany , Berlin ,new,4
2113,Bowrider,7.89,2.59,127,162658.25,Germany , Berlin ,new,4
2115,Center console boat,7.99,2.95,150,161857.375,Switzerland , Lake Geneva ,new,4
2116,Sport Boat,7.8,2.49,56,178587.5,Switzerland , Lake of Zurich ,new,4
2146,Sport Boat,7.89,2.5,132,170925.0,Germany , Niedersachsen ,new,5
2201,Hardtop,10.28,3.59,121,181567.5,Italy , Moniga del Garda (BS),new,6
2202,Sport Boat,9.95,3.35,27,181137.5,France ," HENDAYE, HENDAYE",new,4
2203,Sport Boat,8.0,2.0,149,178749.99999999997,Denmark , Svendborg,new,4
2250,Hardtop,10.94,3.31,165,189703.8,Denmark , Ab v¦rft,new,4
2260,Motor Yacht,9.35,2.95,67,193500.0,Germany , L¼becker Bucht ,new,4
2271,Trawler,12.74,4.13,74,198412.49999999997,Denmark , Frankrig,new,35
2272,Motor Yacht,11.9,4.2,43,198412.49999999997,Denmark , Frankrig,new,18
2274,Motor Yacht,10.52,3.2,59,199842.5,Germany , Bnningstedt,new,4
2275,Sport Boat,9.95,3.0,110,199371.65,Spain ," Palma, Espagne",new,4
2285,Motor Yacht,10.0,3.0,68,201915.99999999997,Denmark , Svendborg,new,4
2289,Hardtop,9.42,3.18,39,215625.0,United Kingdom ," Ipswich, Ipswich",new,5
2308,Wakeboard/Wakesurf,8.31,2.59,100,208872.5,Germany , Rheinland-Pfalz ,new,4
2313,Hardtop,9.95,3.35,67,208464.0,France ," ARZON, France",new,4
2315,Hardtop,11.65,3.99,196,212312.5,Italy , Moniga del Garda (BS),new,6
2326,Motor Yacht,10.8,3.45,79,210436.625,Poland , ab Werk,new,4
2328,Runabout,8.13,2.59,167,230790.0,Switzerland , Lago Maggiore ,new,6
2347,Motor Yacht,11.58,3.2,79,214998.925,Turkey , onbekend,new,7
2353,Motor Yacht,9.99,3.49,116,214892.5,Netherlands , Lelystad,new,6
2354,Sport Boat,9.63,3.32,68,214892.5,France ," Ajaccio, France",new,5
2357,Hardtop,9.02,3.15,153,214892.5,Spain , Baleares ,new,4
2362,Hardtop,10.5,3.35,114,224675.0,France ," BORMES LES MIMOSAS, France",new,4
2374,House Boat,14.99,4.8,236,220375.0,Germany , Hamburg ,new,6
2376,Pilothouse,10.45,3.37,76,227900.0,Germany , Bnningstedt,new,4
2394,Pilothouse,10.95,3.31,216,258265.0,Switzerland , Neuenburgersee ,new,7
2395,Motor Yacht,11.66,3.59,177,231216.69999999998,Denmark , Ab v¦rft,new,4
2396,Motor Yacht,9.79,3.62,60,233597.5,Italy , Campania ,new,5
2397,Motor Yacht,8.25,3.05,84,232834.25,Germany , L¼becker Bucht ,new,5
2398,Hardtop,10.03,3.07,44,245993.75,United Kingdom ," Swanwick, Swanwick",new,4
2399,Motor Yacht,9.8,3.0,220,255957.1,Switzerland , Lake Constance ,new,4
2400,Motor Yacht,9.95,3.35,55,231261.525,Spain ," Palma, Espagne",new,4
2415,Hardtop,9.95,3.32,72,236500.0,France ," ARCACHON, France",new,4
2426,Sport Boat,11.2,3.3,272,241875.0,Germany , Ausstellungshalle Traben Trarbach ,new,5
2453,House Boat,12.0,4.5,61,247142.5,Netherlands , Nieuwbouw,new,4
2462,Motor Yacht,9.8,3.0,200,282157.26,Switzerland , Romanshorn ,new,4
2463,Sport Boat,9.98,3.35,80,254775.0,France ," LA GRANDE MOTTE, LA GRANDE MOTTE",new,4
2464,Sport Boat,8.24,2.6,157,280759.332,Switzerland , Stansstad,new,5
2465,Trawler,18.5,3.4,44,253968.75,Poland , Stettin,new,5
2467,Hardtop,10.49,3.07,74,268687.5,United Kingdom ," Swanwick, Swanwick",new,6
2468,Hardtop,10.54,3.07,62,268687.5,United Kingdom ," Swanwick, Swanwick",new,6
2469,Hardtop,9.15,3.1,230,280025.2,Switzerland , Vierwaldst¤ttersee ,new,5
2474,Sport Boat,11.5,3.35,245,258000.0,Poland , In Produktion,new,4
2481,Hardtop,9.95,3.35,202,257888.19999999998,Switzerland , Stansstad,new,4
2483,Motor Yacht,10.56,3.32,95,257129.25,Germany , Bnningstedt,new,4
2495,Sport Boat,8.75,2.74,84,263375.0,Austria , Linz,new,4
2511,Motor Yacht,11.5,3.35,210,267675.0,Germany , Ausstellungshalle Traben-Trarbach,new,5
2517,Hardtop,10.36,3.05,18,287437.5,United Kingdom ," Lincoln, Lincoln",new,6
2518,Motor Yacht,12.75,4.26,66,270242.1,Poland , ab Werk,new,4
2521,Motor Yacht,10.25,3.5,215,269825.0,Switzerland , noch in Produktion,new,4
2531,Hardtop,9.95,3.35,117,268750.0,Italy , Lombardia - Trentino Alto Adige ,new,6
2542,Hardtop,10.31,3.5,150,278425.0,Germany , Baden-W¼rttemberg ,new,4
2545,Hardtop,9.99,3.3,107,275132.0,Denmark , Ab v¦rft,new,4
2546,Flybridge,9.99,3.53,222,277350.0,Switzerland , Vierwaldst¤ttersee ,new,5
2560,House Boat,18.3,3.36,76,284767.5,Poland , Polen,new,5
2588,Cabin Boat,9.85,3.25,257,295625.0,Germany , Mosel ,new,4
2590,Cabin Boat,9.85,3.25,212,295625.0,Sweden , In Produktion,new,4
2595,Hardtop,11.46,3.61,48,318687.5,United Kingdom ," Lincoln, Lincoln",new,4
2630,Trawler,11.29,3.96,33,311750.0,France ," Cogolin, France",new,4
2678,Cabin Boat,9.97,3.0,202,332551.25,Germany , Lake Constance ,new,5
2682,Sport Boat,11.13,3.23,100,331100.0,Cyprus , Limassol,new,4
2683,Sport Boat,10.34,3.2,520,364894.376,Switzerland , Lake of Zurich ,new,3
2696,Flybridge,11.4,3.84,28,362437.5,United Kingdom ," Swanwick, Swanwick",new,5
2699,Motor Yacht,12.33,3.8,29,341687.675,Germany , Bnningstedt,new,4
2703,Bowrider,9.99,2.99,177,339339.875,Switzerland , Lake Constance ,new,4
2704,Trawler,11.29,4.03,34,350450.0,France ," SAINT GILLES CROIX DE VIE, LES SABLES OLONNE",new,4
2705,Motor Yacht,12.0,3.75,384,349375.0,Switzerland , Neuenburgersee ,new,5
2720,Hardtop,11.99,3.75,71,357812.88399999996,Denmark , ab v¦rft,new,4
2729,Flybridge,14.5,4.6,209,360125.0,Germany , Deutschland,new,3
2733,Flybridge,11.43,3.84,36,356143.2,Germany , Bayern ,new,4
2751,Sport Boat,11.4,3.5,162,366037.5,Switzerland , Lake Constance ,new,4
2752,Trawler,11.29,3.96,28,376250.0,France ," Cogolin, France",new,4
2770,Sport Boat,11.95,3.85,47,387000.0,France ," PORTICCIO, France",new,4
2780,Center console boat,10.76,3.25,54,385925.0,France ," BORMES LES MIMOSA, France",new,4
2781,Trawler,11.7,4.11,36,385925.0,Germany , Rostock,new,4
2786,Sport Boat,10.31,3.25,146,401351.25,Austria , Linz,new,4
2787,Hardtop,11.47,3.59,29,400867.5,Germany , Bnningstedt,new,4
2790,Hardtop,12.0,3.0,69,399707.575,Spain , Espagne,new,5
2799,Hardtop,12.67,3.87,71,413875.0,Spain ," Barcelona, Espagne",new,4
2801,Motor Yacht,11.99,3.85,68,409296.575,Germany , Nordsee ,new,4
2802,Hardtop,13.2,3.9,122,408500.0,Italy , Toscana ,new,4
2814,Cabin Boat,9.86,3.25,316,420249.75,Germany , Baden-W¼rttemberg ,new,3
2826,Motor Yacht,11.95,3.85,198,463173.55,Switzerland , Lake Constance ,new,5
2828,Sport Boat,10.17,2.98,425,418712.5,Switzerland , Lake Constance ,new,4
2843,House Boat,11.2,3.45,67,428925.0,Germany , onbekend,new,4
2854,Cabin Boat,10.87,3.4,267,440750.0,Sweden , In Produktion,new,4
2863,Hardtop,11.33,3.4,279,462250.0,Germany , Mosel ,new,4
2865,Motor Yacht,11.5,3.75,209,461294.32499999995,Switzerland , Vierwaldst¤ttersee ,new,3
2871,Motor Yacht,11.73,3.35,325,461175.0,Germany , Ausstellungshalle Traben-Trarbach ,new,5
2879,Trawler,13.43,4.25,80,480267.0,France ," saint cyprien, France",new,4
2880,Trawler,13.43,4.25,68,480267.0,France ," saint cyprien, France",new,4
2892,Hardtop,11.49,3.49,271,544005.0,Switzerland , Goldach,new,5
2893,Pilothouse,14.3,4.1,70,491487.85,Germany , Bayern ,new,4
2894,Motor Yacht,14.3,4.1,44,491487.85,Germany , Bnningstedt,new,4
2898,Flybridge,13.6,4.21,145,483611.69999999995,Denmark , ab v¦rft,new,4
2899,Flybridge,12.65,3.99,180,482181.69999999995,Denmark , Ab v¦rft,new,4
2917,Sport Boat,11.7,3.53,228,508801.8,Italy ," Marine Test Centre ""Italo Monzino""",new,4
2920,Flybridge,13.2,4.0,66,507937.5,Spain ," Ma³-Mah³n, Espagne",new,5
2948,Trawler,13.43,4.2,34,536425.0,France ," LES SABLES OLONNE, France",new,4
2952,Hardtop,13.55,4.2,55,575599.075,Germany , Nordsee ,new,4
2962,Motor Yacht,12.5,3.85,81,568675.0,Germany , L¼becker Bucht ,new,4
2976,Sport Boat,13.5,4.2,133,591250.0,Spain ," Ma³-Mah³n, Espagne",new,5
2981,House Boat,18.0,8.0,464,591250.0,Russian Federation , Moskau,new,3
2983,Hardtop,13.82,4.06,417,621995.0,Switzerland , Lago Maggiore ,new,4
2985,Sport Boat,11.85,3.53,214,619612.7999999999,Austria , Linz,new,4
2989,Hardtop,12.5,3.85,134,616981.2,France ," Frejus, France",new,5
2990,Flybridge,12.5,4.0,429,615115.0,Germany , Lake Constance ,new,4
3015,Cabin Boat,13.16,3.75,236,671875.0,Sweden , In Produktion,new,4
3018,Flybridge,15.19,4.5,74,702940.0,United Kingdom ," Lincoln, Lincoln",new,6
3019,Trawler,19.75,4.9,48,661125.0,Netherlands , Omgeving Harlingen,new,6
3021,Flybridge,14.43,4.49,149,653956.875,Denmark , ab v¦rft,new,4
3056,Flybridge,13.9,4.48,161,740675.0,Croatia (Hrvatska) , Marina Veruda ,new,4
3063,Flybridge,13.0,3.95,113,799800.0,Germany , Ostsee ,new,4
3064,Flybridge,14.99,4.8,127,787081.009,Denmark , ab v¦rft,new,4
3070,Cabin Boat,13.9,4.4,200,783675.0,Switzerland , Lake Geneva ,new,4
3075,Motor Yacht,14.99,4.8,58,766569.3749999999,Denmark , ab v¦rft,new,4
3078,Flybridge,14.29,4.3,73,848175.0,Germany , Bnningstedt,new,4
3080,Sport Boat,13.82,4.06,104,839403.0,Austria , Linz - San Giorgio di Nogaro (I),new,4
3086,Sport Boat,13.9,3.8,554,834392.4249999999,Switzerland , Gottlieben ,new,4
3089,Motor Yacht,15.85,4.51,149,881250.0,United Kingdom , Poole,new,4
3090,Sport Boat,11.25,3.2,118,829900.0,Austria , Linz,new,4
3106,Flybridge,16.11,4.5,72,875265.0,France ," CANET EN ROUSSILLON, France",new,4
3108,Hardtop,15.0,4.0,59,943043.75,Spain , L'HOSPITALET DE LINFANT,new,8
3159,Flybridge,16.76,4.61,32,1187500.0,United Kingdom , Poole,new,4
3164,Motor Yacht,15.82,4.67,66,1104857.05,Netherlands , onbekend,new,6
3165,Motor Yacht,17.6,5.0,56,1104025.0,United Arab Emirates , Dubai & VAE,new,4
3178,Motor Yacht,15.1,4.6,141,1230337.5,Germany , Ostsee ,new,4
3180,Flybridge,18.9,4.88,63,1298417.5,United Kingdom ," Lincoln, Lincoln",new,5
3181,Sport Boat,16.25,4.96,80,1222914.625,Spain ," Barcelona, Espagne",new,6
3184,Flybridge,16.71,4.75,161,1201900.7,Denmark , ab v¦rft,new,4
3198,Motor Yacht,19.9,9.0,398,1343750.0,Russian Federation , Moskau,new,3
3200,Motor Yacht,18.01,4.72,87,1418750.0,United Kingdom , Poole,new,4
3206,Sport Boat,18.52,4.85,130,1495755.0,Austria ," Linz Marine Test Centre ""Italo Monzino""",new,4
3226,Motor Yacht,17.2,4.85,63,1685210.8499999999,Italy , Veneto ,new,4
3228,Hardtop,18.24,4.7,351,1773607.5,Switzerland , Poole / GB ,new,3
3235,Motor Yacht,17.2,4.85,174,1977750.5999999999,Italy , Veneto ,new,4
3246,Motor Yacht,19.98,5.54,68,1928550.0,Germany , Dubai & VAE,new,4
3257,Motor Yacht,22.86,6.05,53,2276850.0,United Arab Emirates , Dubai & VAE,new,4
3278,Motor Yacht,18.0,5.0,87,2686425.0,Finland , Ostsee ,new,4
3284,Motor Yacht,22.86,6.05,123,3751750.0,United Arab Emirates , Dubai & VAE,new,4
3299,Mega Yacht,30.55,7.4,94,5822200.0,United Arab Emirates , Dubai & VAE,new,4
3303,Mega Yacht,30.55,7.4,63,5751250.0,Italy , Mittelmeer Italien,new,5
3306,Flybridge,26.3,6.48,59,5975000.0,United Kingdom , Poole,new,4
3311,Mega Yacht,43.3,8.2,167,17226875.0,United Arab Emirates , Dubai & VAE,new,4
3314,Mega Yacht,37.0,8.1,124,13061250.0,United Arab Emirates , Dubai & VAE,new,4
3318,Mega Yacht,38.4,7.5,76,12319500.0,United Arab Emirates , Dubai & VAE,new,4
3325,Mega Yacht,54.4,9.6,1009,33325000.0,United Arab Emirates , Dubai & VAE,new,4
3326,Mega Yacht,47.6,9.6,304,25853750.0,United Arab Emirates , Dubai & VAE,new,4
3331,Mega Yacht,36.3,8.0,130,18006250.0,Germany , Nordsee Holland,new,4
3333,Mega Yacht,37.3,7.5,82,9922250.0,United Arab Emirates , Dubai & VAE,new,4
3334,Mega Yacht,34.83,7.1,82,9757345.0,Italy , Dubai & VAE,new,4
3337,Mega Yacht,39.3,7.54,96,9567500.0,United Arab Emirates , Dubai & VAE,new,7
3342,Flybridge,28.06,6.55,535,9000106.25,United Kingdom , Poole / GB ,new,4
3347,Motor Yacht,28.96,6.58,90,7950000.0,United Kingdom , Southampton,new,4
3352,Mega Yacht,34.83,7.1,126,7310000.0,Italy , Mittelmeer S¼dfrankreich,new,7
3357,Motor Yacht,23.9,6.76,134,6772500.0,Spain , Mallorca ,new,7
3358,Flybridge,26.3,6.47,209,7043941.25,United Kingdom , United Kingdom ,new,5
3373,Motor Yacht,26.34,6.35,41,4945000.0,Italy , Marina di Carrara,new,6
3393,Flybridge,7.62,5.49,97,3950141.25,Malta , San ?iljan,new,4
3398,Flybridge,23.62,5.97,26,3481250.0,United Kingdom , Poole,new,4
3399,Flybridge,23.62,5.97,38,3481250.0,United Kingdom , Poole,new,4
3400,Sport Boat,21.5,5.6,84,3278750.0,Italy , Toscana ,new,4
3401,Motor Yacht,23.42,6.12,96,3249725.0,United Arab Emirates , Dubai & VAE,new,4
3404,Flybridge,22.82,5.38,171,3383786.25,United Kingdom , United Kingdom ,new,5
3411,Catamaran,27.0,25.16,137,3117500.0,Italy , Faenza,new,10
3419,Hardtop,23.03,5.64,80,2993875.0,Italy , Toscana ,new,4
3420,Motor Yacht,22.82,5.38,125,3136525.0,United Kingdom , United Kingdom ,new,5
3429,Motor Yacht,22.59,5.43,84,2831250.0,Spain , El Toro,new,5
3430,Motor Yacht,22.59,5.43,50,2831250.0,United Kingdom , Poole,new,4
3434,Mega Yacht,20.8,5.45,88,2580000.0,Slovenia , Begunje,new,6
3437,Motor Yacht,20.8,5.45,54,2513671.875,Denmark , ab v¦rft,new,4
3439,Motor Yacht,22.59,5.43,43,2631250.0,United Kingdom , Poole,new,5
3440,Motor Yacht,22.59,5.43,33,2631250.0,United Kingdom , Southampton,new,5
3458,Flybridge,23.2,6.4,227,2150000.0,Russian Federation , Russland,new,4
3461,Motor Yacht,19.98,5.54,78,2148925.0,Germany , Mittelmeer S¼dfrankreich,new,4
3498,Motor Yacht,18.95,4.99,87,1850062.4999999998,Denmark , ab v¦rft,new,4
3499,Flybridge,15.82,4.67,62,1833941.4,Italy ," Linz Marine Test Centre ""Italo Monzino""",new,4
3501,Hardtop,22.0,5.07,59,1827500.0,Italy , Toscana ,new,4
3515,Motor Yacht,19.98,5.54,47,1728600.0,Germany , Dubai & VAE,new,4
3547,Flybridge,17.21,4.87,124,1627267.5,Switzerland , United Kingdom ,new,4
3549,Flybridge,18.52,4.85,100,1508219.625,Netherlands , onbekend,new,7
